TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
HOU,Jason Collier,C,25.0,2.0,14.6,4.2,1.2,2.0,3.3,0.4,0.24,0.16,0.5,1.6,0.7,1.6,3.8,0.43200000000000005,0.0,0.0,0.0,1.0,1.3,0.75,1.6,3.8,0.436,1.1159999999999999,0.43
HOU,Steve Francis,PG,57.0,56.0,41.1,21.6,1.8,5.2,7.0,6.4,1.25,0.44,3.9,3.0,1.6,7.4,17.7,0.41700000000000004,1.2,3.7,0.324,5.7,7.4,0.77,6.2,14.0,0.442,1.225,0.45
HOU,Glen Rice,SF,20.0,20.0,30.3,8.6,0.3,2.1,2.4,1.6,0.6,0.15,1.2,1.7,1.3,3.3,8.4,0.389,0.9,3.2,0.281,1.2,1.5,0.8,2.4,5.2,0.456,1.03,0.44
HOU,Kelvin Cato,C,75.0,73.0,25.6,6.6,2.3,4.7,7.0,0.4,0.53,1.27,0.7,2.8,0.5,2.5,4.3,0.583,0.0,0.0,0.0,1.5,2.6,0.58,2.5,4.3,0.585,1.5119999999999998,0.58
HOU,Terence Morris,F,68.0,12.0,16.3,3.8,1.1,2.0,3.1,0.9,0.31,0.4,0.7,1.1,1.4,1.6,4.3,0.384,0.2,1.1,0.192,0.3,0.4,0.64,1.4,3.2,0.455,0.882,0.41
HOU,Cuttino Mobley,SG,74.0,74.0,42.1,21.7,0.9,3.2,4.1,2.5,1.47,0.5,2.4,2.6,1.0,8.0,18.4,0.43799999999999994,2.0,5.1,0.395,3.6,4.2,0.85,6.0,13.3,0.455,1.183,0.49
HOU,Dan Langhi,PF,34.0,8.0,12.8,3.1,0.6,1.3,2.0,0.4,0.24,0.15,0.3,0.7,1.6,1.4,3.7,0.392,0.0,0.1,0.25,0.2,0.3,0.73,1.4,3.6,0.397,0.856,0.4
MEM,Tony Massenburg,PF,73.0,31.0,17.1,5.5,1.4,3.1,4.4,0.4,0.41,0.42,0.9,2.4,0.4,2.2,4.8,0.456,0.0,0.0,1.0,1.2,1.6,0.72,2.2,4.8,0.45399999999999996,1.155,0.46
MEM,Pau Gasol,PF,82.0,79.0,36.7,17.6,2.9,6.0,8.9,2.7,0.5,2.06,2.7,2.4,1.0,6.7,13.0,0.518,0.0,0.1,0.2,4.1,5.8,0.71,6.7,12.9,0.519,1.354,0.52
MEM,Rodney Buford,SF,63.0,21.0,28.1,9.4,0.8,3.5,4.3,1.1,0.67,0.19,1.0,1.7,1.1,4.1,9.4,0.435,0.3,1.1,0.243,0.9,1.3,0.73,3.8,8.3,0.461,0.997,0.45
